Data,UK_3_Month_treasury_Securities,US_3_Month_Treasury_Yield,US_Federal_Funds_Effective,UK_London_Interbank_Offered_Rate,exchus,exukus,Interest_rate_required_reserves,inflation,totval,sprtrn,SP_500_risk_index,efftax_Median,adv_sale_Median,staff_sale_Median,Employment_Cost_Index,Import_Price_Index,Export_Price_Index,Labor_Productivity_Index_business_sector,Labor_Productivity_Index_manufacturing_sector
1991-02-28,11.8831,6.11631578947,6.25,13.2953135,5.2352,0.5091,0.0,0.001486,3338960830.0,0.067281,21.5984210526,0.3586,0.005,0.0166,84.7,95.0,96.7,63.972,52.093
1991-03-31,11.5556,6.0935,6.12,12.4609385,5.2352,0.549,0.0,0.001484,3444588200.0,0.022203,17.7442105263,0.3586,0.005,0.0166,84.7,95.0,96.4,64.142,52.168
1991-04-30,11.17,5.82545454545,5.91,11.9918161905,5.2767,0.5715,0.0,0.001481,3452130500.0,0.000346,17.3727272727,0.3586,0.005,0.0166,84.7,94.2,96.6,64.142,52.168
1991-05-31,10.7438,5.63363636364,5.78,11.5662209524,5.3257,0.5801,0.0,0.002959,3586959580.0,0.038577,16.9322727273,0.3586,0.005,0.0166,84.7,94.0,96.4,64.142,52.168
1991-06-30,10.7456,5.751,5.9,11.2984375,5.3667,0.6062,0.0,0.00295,3447776450.0,-0.047893,17.135,0.3586,0.005,0.0166,84.7,93.4,96.1,65.171,52.82
1991-07-31,10.4456,5.75090909091,5.82,11.1297556522,5.3693,0.6056,0.0,0.001471,3609514750.0,0.044859,17.2940909091,0.3586,0.005,0.0166,84.7,92.8,95.7,65.171,52.82
1991-08-31,10.0676,5.49772727273,5.66,10.9389880952,5.3725,0.5938,0.0,0.002937,3698163140.0,0.019649,15.6813636364,0.3586,0.005,0.0166,84.7,93.1,96.0,65.171,52.82
1991-09-30,9.6979,5.3735,5.45,10.334077619,5.3869,0.5792,0.0,0.004392,3674720010.0,-0.019144,16.9565,0.3586,0.005,0.0166,84.7,93.3,95.6,65.593,53.65
1991-10-31,9.9402,5.14409090909,5.21,10.45822,5.3917,0.5803,0.0,0.001458,3742700850.0,0.01186,16.3639130435,0.3586,0.005,0.0166,84.7,94.1,96.6,65.593,53.65
1991-11-30,10.0806,4.68947368421,4.81,10.529762381,5.3994,0.5619,0.0,0.002911,3597829500.0,-0.043928,17.7735,0.3586,0.005,0.0166,84.7,94.5,96.7,65.593,53.65
1991-12-31,10.1879,4.18428571429,4.43,10.8244242105,5.4232,0.5473,0.0,0.000726,3997265300.0,0.111588,18.3476190476,0.3586,0.005,0.0166,84.7,94.3,95.7,66.017,53.708
1992-01-31,9.8765,3.90619047619,4.03,10.7049009091,5.4618,0.5528,0.0,0.00145,3987564690.0,-0.0199,17.6831818182,0.3586,0.005,0.0166,84.7,94.0,95.7,66.017,53.708
1992-02-29,9.7383,3.95,4.06,10.4203125,5.4776,0.5625,0.0,0.003621,4034386120.0,0.009565,17.4773684211,0.3586,0.005,0.0166,84.7,94.0,96.3,66.017,53.708
1992-03-31,10.2134,4.13863636364,3.98,10.670455,5.4871,0.5801,0.0,0.005051,3975481440.0,-0.021832,17.5204545455,0.3586,0.005,0.0166,84.7,93.9,96.2,67.384,54.015
1992-04-30,9.5628,3.83904761905,3.73,10.6828125,5.5098,0.5693,0.0,0.001436,4018103920.0,0.027893,16.5628571429,0.3586,0.005,0.0166,84.7,93.6,96.4,67.384,54.015
1992-05-31,9.4278,3.719,3.82,10.1040294737,5.5182,0.5526,0.0,0.001434,4031463830.0,0.000964,15.077,0.3586,0.005,0.0166,84.7,94.0,96.7,67.384,54.015
